Date,new cases
9/30/2020,510
10/1/2020,708
10/2/2020,753
10/3/2020,600
10/4/2020,626
10/5/2020,465
10/6/2020,454
10/7/2020,509
10/8/2020,409
10/9/2020,734
10/10/2020,587
10/11/2020,570
10/12/2020,765
10/13/2020,632
10/14/2020,518
10/15/2020,568
10/16/2020,702
10/17/2020,550
10/18/2020,744
10/19/2020,827
10/20/2020,821
10/21/2020,646
10/22/2020,986
10/23/2020,968
10/24/2020,1128
10/25/2020,1097
10/26/2020,1216
10/27/2020,1025
10/28/2020,1137
10/29/2020,1243
10/30/2020,1488
10/31/2020,1292
11/1/2020,1139
11/2/2020,725
11/3/2020,923
11/4/2020,1629
11/5/2020,1761
11/6/2020,2038
11/7/2020,2200
11/8/2020,1809
11/9/2020,1184
11/10/2020,2047
11/11/2020,2495
11/12/2020,2482
11/13/2020,2674
11/14/2020,2841
11/15/2020,2076
11/16/2020,1967
11/17/2020,2263
11/18/2020,2744
11/19/2020,2532
11/20/2020,2288
11/21/2020,2991
11/22/2020,2721
11/23/2020,1785
11/24/2020,2225
11/25/2020,3224
11/27/2020,4464
11/28/2020,2914
11/29/2020,2501
11/30/2020,1166
12/1/2020,2845
12/2/2020,4613
12/3/2020,6477
12/4/2020,5192
12/5/2020,5356
12/6/2020,4747
12/7/2020,2463
12/8/2020,3627
12/9/2020,5675
12/10/2020,5130
12/11/2020,5475
12/12/2020,4968
12/13/2020,4677
12/14/2020,3572
12/15/2020,3720
12/16/2020,5450
12/17/2020,4985
12/18/2020,5632
12/19/2020,3995
12/20/2020,4162
12/21/2020,3760
12/22/2020,3293
12/23/2020,4509
12/24/2020,5655
12/26/2020,7424
12/27/2020,2973
12/28/2020,4060
