date,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,GU,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,MP,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VT,VI,VA,WA,WV,WI,WY
2020-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-25,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-26,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-27,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-28,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-29,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-30,,,0.0,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-31,,,0.0,,1.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-01,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-02,,,0.0,,3.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-03,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-04,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-05,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-06,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
2020-02-07,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
2020-02-08,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
2020-02-09,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
2020-02-10,,,0.0,,1.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
2020-02-11,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
2020-02-12,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
2020-02-13,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.0,,0.0,
2020-02-14,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,
2020-02-15,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,
2020-02-16,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,
2020-02-17,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,
2020-02-18,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,
2020-02-19,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,
2020-02-20,,,0.0,,1.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,
2020-02-21,,,0.0,,1.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,0.0,
2020-02-22,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,
2020-02-23,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,
2020-02-24,,,0.0,,2.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,6.0,,,,,4.0,,0.0,
2020-02-25,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,
2020-02-26,,,0.0,,15.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,
2020-02-27,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,
2020-02-28,,,0.0,,1.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,0.0,,,,2.0,,0.0,
2020-02-29,,,0.0,,1.0,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,3.0,,0.0,
2020-03-01,,,0.0,,5.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,0.0,0.0,,,,7.0,,0.0,
2020-03-02,,,0.0,,5.0,,,,,0.0,,,,,1.0,,,,,,,,1.0,,,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,6.0,,0.0,
2020-03-03,,,1.0,,7.0,,,,,1.0,0.0,,,,0.0,,,,,,,,0.0,,,,,,0.0,,1.0,,,1.0,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,9.0,,0.0,
2020-03-04,,,0.0,,10.0,,,,,0.0,0.0,,,,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,,,9.0,0.0,,,,,0.0,,,0.0,,,,1.0,0.0,,,,15.0,,0.0,
2020-03-05,,,0.0,,12.0,,,,,1.0,0.0,,,,1.0,,,,,,,,1.0,,,,,,0.0,,0.0,1.0,,11.0,0.0,,,,,0.0,,,0.0,,,,4.0,0.0,,,,28.0,,0.0,
2020-03-06,,,1.0,,14.0,6.0,,,,3.0,1.0,,,,1.0,,,,,,,0.0,5.0,,,,,,1.0,0.0,0.0,2.0,,22.0,1.0,,,,,0.0,,,1.0,,,0.0,3.0,2.0,,,,11.0,,0.0,
2020-03-07,,,2.0,,19.0,0.0,,,,5.0,4.0,,0.0,,0.0,0.0,,,0.0,,,0.0,5.0,,0.0,,,,0.0,0.0,2.0,0.0,,45.0,0.0,,,,0.0,4.0,2.0,,0.0,0.0,,0.0,0.0,0.0,,,,24.0,,0.0,
2020-03-08,,,0.0,,12.0,0.0,,,0.0,1.0,4.0,,1.0,,1.0,1.0,,0.0,3.0,,,2.0,15.0,,1.0,,0.0,,2.0,2.0,0.0,2.0,,17.0,0.0,,,,0.0,7.0,2.0,,0.0,4.0,,2.0,4.0,0.0,0.0,,1.0,31.0,,0.0,
2020-03-09,,,1.0,,60.0,4.0,1.0,,3.0,1.0,6.0,,0.0,,4.0,2.0,5.0,0.0,1.0,,,1.0,13.0,,0.0,,0.0,,0.0,0.0,0.0,5.0,,36.0,5.0,,,,0.0,0.0,4.0,,0.0,1.0,,1.0,1.0,0.0,0.0,,3.0,38.0,,1.0,
2020-03-10,,,0.0,,7.0,5.0,0.0,,0.0,9.0,5.0,,0.0,,8.0,2.0,5.0,0.0,2.0,5.0,,3.0,51.0,,1.0,,0.0,,1.0,0.0,1.0,4.0,,31.0,0.0,,,0.0,1.0,1.0,2.0,,2.0,2.0,,3.0,7.0,1.0,0.0,,3.0,100.0,,1.0,
2020-03-11,,,3.0,,23.0,17.0,1.0,,6.0,3.0,9.0,,0.0,,6.0,5.0,1.0,0.0,0.0,7.0,,4.0,3.0,0.0,2.0,,0.0,,6.0,3.0,0.0,8.0,,44.0,1.0,,,1.0,0.0,6.0,4.0,,0.0,1.0,3.0,1.0,2.0,1.0,1.0,,2.0,59.0,,3.0,
