,date,coronavirus,short breath,covid-19,state,positive,positiveIncrease,negative,negativeIncrease
0,2020-03-08,76,46,39,DE,0.0,0,10.0,0
1,2020-03-15,100,44,88,DE,6.0,0,36.0,0
2,2020-03-22,74,0,96,DE,56.0,11,36.0,0
3,2020-03-29,59,81,100,DE,232.0,18,36.0,0
4,2020-04-05,59,0,81,DE,673.0,80,6321.0,447
5,2020-04-12,46,40,56,DE,1479.0,0,9624.0,0
6,2020-04-19,38,39,50,DE,2538.0,215,12256.0,562
7,2020-04-26,23,80,49,DE,4034.0,458,15215.0,1093
8,2020-05-03,20,39,45,DE,5208.0,170,18529.0,455
9,2020-05-10,18,81,40,DE,6447.0,170,24592.0,1573
10,2020-05-17,14,0,41,DE,7670.0,123,33195.0,984
11,2020-05-24,12,0,34,DE,8809.0,119,43061.0,1217
12,2020-05-31,9,0,31,DE,9498.0,76,51173.0,1266
13,2020-06-07,8,0,31,DE,9942.0,97,59055.0,1265
14,2020-06-14,8,0,36,DE,10264.0,35,71523.0,1653
15,2020-06-21,11,0,43,DE,10775.0,94,84199.0,2464
16,2020-06-28,14,43,40,DE,11226.0,135,95120.0,1949
17,2020-07-05,11,43,45,DE,12128.0,132,111813.0,3116
18,2020-07-12,11,44,38,DE,12804.0,61,124605.0,3233
19,2020-07-19,9,0,31,DE,13519.0,90,139476.0,2148
20,2020-07-26,8,44,31,DE,14290.0,115,155703.0,2956
21,2020-08-02,7,0,93,DE,14949.0,72,169962.0,1943
22,2020-08-09,6,44,25,DE,15575.0,73,182544.0,2152
23,2020-08-16,5,0,20,DE,16451.0,55,193934.0,1569
24,2020-08-23,4,0,20,DE,16895.0,67,204950.0,1902
25,2020-08-30,4,44,14,DE,17343.0,-6,217318.0,1783
26,2020-09-06,5,43,17,DE,18043.0,151,232740.0,2000
27,2020-09-13,4,0,24,DE,18849.0,123,242447.0,1588
28,2020-09-20,4,43,18,DE,19566.0,117,251855.0,1593
29,2020-09-27,5,0,24,DE,20260.0,104,261764.0,1521
30,2020-10-04,4,47,14,DE,21243.0,118,272846.0,1513
31,2020-10-11,4,100,16,DE,22130.0,132,288440.0,2793
32,2020-10-18,4,0,19,DE,23093.0,151,304203.0,2676
33,2020-10-25,4,51,19,DE,23961.0,114,315380.0,1951
34,2020-11-01,3,43,11,DE,25126.0,175,327222.0,1445
35,2020-11-08,5,0,27,DE,26603.0,345,338676.0,2003
36,2020-03-08,68,27,36,NC,2.0,0,,0
37,2020-03-15,100,54,86,NC,32.0,9,227.0,90
38,2020-03-22,78,51,100,NC,255.0,71,6183.0,1091
39,2020-03-29,59,66,89,NC,1040.0,105,17905.0,1313
40,2020-04-05,60,57,70,NC,2585.0,183,37460.0,1089
41,2020-04-12,48,15,54,NC,4520.0,208,57619.0,1538
42,2020-04-19,38,41,47,NC,6493.0,353,72279.0,2208
43,2020-04-26,20,28,42,NC,8830.0,207,99064.0,2422
44,2020-05-03,18,30,41,NC,11664.0,155,132171.0,4205
45,2020-05-10,16,47,38,NC,14764.0,404,177371.0,5369
46,2020-05-17,14,30,34,NC,18512.0,530,230432.0,9828
47,2020-05-24,11,31,31,NC,23222.0,497,313434.0,6577
48,2020-05-31,9,15,29,NC,28589.0,916,387700.0,11216
49,2020-06-07,9,38,36,NC,35546.0,921,475680.0,12955
50,2020-06-14,10,37,43,NC,44119.0,1443,583011.0,13997
51,2020-06-21,12,27,48,NC,52801.0,1412,692974.0,13022
52,2020-06-28,11,100,38,NC,62142.0,1605,809763.0,15169
53,2020-07-05,11,39,39,NC,72983.0,1329,963855.0,17213
54,2020-07-12,11,28,41,NC,85701.0,1908,1113874.0,21609
55,2020-07-19,8,33,37,NC,99778.0,1820,1295086.0,13901
56,2020-07-26,7,22,33,NC,112713.0,1621,1500672.0,32722
57,2020-08-02,6,22,98,NC,125219.0,1341,1688291.0,25757
58,2020-08-09,6,27,28,NC,136218.0,1452,1850330.0,15330
59,2020-08-16,5,30,23,NC,144952.0,1246,1779694.0,19999
60,2020-08-23,4,15,21,NC,155113.0,1472,1923359.0,24882
61,2020-08-30,4,37,22,NC,166127.0,1051,2077146.0,24073
62,2020-09-06,4,26,19,NC,176901.0,1086,2266049.0,30993
63,2020-09-13,3,37,19,NC,184936.0,1196,2431172.0,33780
64,2020-09-20,3,30,17,NC,193581.0,1333,2611237.0,32465
65,2020-09-27,4,41,20,NC,207380.0,1290,2771348.0,29635
66,2020-10-04,4,55,19,NC,217496.0,610,2943472.0,24092
67,2020-10-11,3,24,17,NC,231471.0,1719,3156779.0,35716
68,2020-10-18,3,37,16,NC,246028.0,2303,3371230.0,32383
69,2020-10-25,3,56,17,NC,260099.0,1807,3584354.0,33569
70,2020-11-01,2,27,12,NC,276692.0,2057,3818673.0,38152
71,2020-11-08,3,66,20,NC,293339.0,2094,4071722.0,38811
