date,ID,NV,IL,NY,IN,OH,KS,OK,KY,OR,LA,PA,MA,AK,MD,AL,RI,ME,AR,SC,MI,SD,MN,AZ,TN,MO,CA,TX,CO,MS,CT,UT,MT,DC,VA,NC,DE,ND,FL,VT,NE,GA,WA,NH,WI,WY,NJ,HI,WV,NM,IA
2020-09-27,0.41,0.66,0.4,0.62,0.36,0.32,0.4,0.4,0.21,0.21,0.45,0.45,0.45,0.08,0.38,0.52,0.2,0.32,0.35,0.54,0.36,0.31,0.54,0.56,0.47,0.71,0.43,0.51,0.34,0.11,0.29,0.36,0.63,0.47,0.51,0.43,0.33,0.05,0.61,0.41,0.38,0.56,0.33,0.37,0.51,0.55,0.55,0.56,0.34,0.5,0.43
2020-09-28,0.46,0.55,0.47,0.71,0.35,0.35,0.89,0.67,0.45,0.36,0.43,0.46,0.49,0.58,0.53,0.71,0.54,0.57,0.69,0.63,0.43,0.3,0.51,0.56,0.47,0.6,0.48,0.55,0.36,0.38,0.6,0.26,0.54,0.4,0.61,0.62,0.2,0.43,0.72,0.24,0.57,0.52,0.44,0.4,0.75,0.85,0.53,0.46,0.48,0.32,0.55
2020-09-29,0.3,0.52,0.52,0.77,0.41,0.41,0.57,0.57,0.38,0.41,0.44,0.49,0.6,0.37,0.43,0.57,0.38,0.34,0.33,0.67,0.37,0.2,0.57,0.67,0.52,0.57,0.54,0.52,0.37,0.36,0.45,0.35,0.54,0.76,0.57,0.4,0.22,0.42,0.64,0.29,0.17,0.65,0.39,0.62,0.63,0.33,0.53,0.41,0.29,0.26,0.39
2020-09-30,0.33,0.43,0.47,0.64,0.39,0.27,0.38,0.37,0.39,0.29,0.57,0.51,0.52,0.07,0.47,0.79,0.27,0.5,0.54,0.78,0.38,0.41,0.4,0.58,0.67,0.45,0.45,0.53,0.31,0.53,0.47,0.37,0.39,0.21,0.57,0.51,0.3,0.24,0.6,0.53,0.3,0.67,0.34,0.52,0.7,0.51,0.51,0.44,0.53,0.43,0.42
2020-10-01,0.82,0.46,0.39,0.6,0.29,0.37,0.44,0.27,0.34,0.37,0.72,0.42,0.66,0.37,0.38,0.53,0.22,0.48,0.45,0.7,0.29,0.42,0.61,0.65,0.39,0.41,0.47,0.53,0.3,0.43,0.51,0.26,0.35,0.3,0.49,0.55,0.53,0.25,0.55,0.25,0.51,0.59,0.49,0.62,0.59,0.34,0.51,0.34,0.34,0.39,0.52
2020-10-02,0.65,1.0,0.68,1.0,0.8,0.52,1.0,0.94,0.53,0.96,0.75,0.91,0.87,0.97,0.82,0.8,0.5,0.74,1.0,0.89,0.51,0.56,1.0,0.96,0.98,0.99,0.98,1.0,0.76,1.0,0.77,0.48,0.84,0.79,0.98,1.0,0.74,0.5,1.0,1.0,1.0,1.0,1.0,0.67,1.0,0.9,0.88,0.82,0.79,0.42,0.92
2020-10-03,0.7,0.79,0.71,0.93,0.53,0.45,0.78,0.75,0.74,0.71,0.73,0.76,1.0,0.62,0.91,0.75,0.56,0.48,0.75,0.88,0.59,0.46,0.75,0.98,0.75,0.9,0.83,0.8,0.7,0.74,0.7,0.42,0.78,0.62,0.88,0.76,0.36,0.52,0.76,0.47,0.92,0.91,0.79,0.74,1.0,0.44,0.85,0.94,1.0,0.7,0.63
2020-10-04,0.71,0.62,0.56,0.85,0.44,0.43,0.81,0.54,0.53,0.64,0.88,0.65,0.88,0.17,0.65,0.88,0.5,0.36,0.52,0.58,0.55,0.53,0.88,0.66,0.9,0.81,0.61,0.62,0.54,0.45,0.63,0.33,0.86,0.43,0.66,0.67,0.3,0.28,0.73,0.47,0.79,0.59,0.47,0.53,0.78,0.94,0.81,1.0,0.42,0.51,0.57
2020-10-05,0.61,0.48,0.57,0.88,0.43,0.4,0.66,0.69,0.4,0.45,0.62,0.57,0.71,0.44,0.63,0.86,0.54,0.73,0.66,0.78,0.47,0.64,0.73,0.71,0.71,0.81,0.58,0.64,0.52,0.5,0.75,0.28,0.65,0.39,0.78,0.56,0.49,0.33,0.72,0.82,0.51,0.62,0.51,0.5,0.74,0.32,0.68,0.52,0.26,0.49,0.87
2020-10-06,0.58,0.53,0.52,0.78,0.35,0.39,0.51,0.55,0.63,0.54,0.62,0.51,0.59,0.37,0.41,0.53,0.33,0.45,0.72,0.66,0.45,0.69,0.57,0.6,0.56,0.79,0.56,0.63,0.47,0.81,0.67,0.23,0.74,0.31,0.73,0.48,0.36,0.53,0.64,0.71,0.47,0.61,0.44,0.63,0.79,0.47,0.57,0.53,0.76,0.29,0.39
2020-10-07,0.61,0.43,0.46,0.67,0.47,0.32,0.49,0.66,0.45,0.36,0.49,0.54,0.64,0.61,0.54,0.48,0.63,0.46,0.47,0.61,0.5,0.52,0.62,0.5,0.59,0.53,0.51,0.54,0.41,0.65,0.66,0.3,0.78,0.56,0.84,0.57,0.3,0.43,0.61,0.17,0.34,0.62,0.54,0.36,0.74,0.76,0.56,0.48,0.45,0.4,0.47
2020-10-08,0.46,0.47,0.47,0.57,0.41,0.36,0.4,0.67,0.45,0.45,0.53,0.43,0.46,0.23,0.41,0.55,0.15,0.6,0.58,0.69,0.36,0.55,0.56,0.53,0.48,0.49,0.45,0.51,0.38,0.38,0.43,0.31,0.83,0.57,0.52,0.49,0.52,0.44,0.54,0.23,0.27,0.45,0.47,0.66,0.7,0.53,0.47,0.48,0.48,0.46,0.44
2020-10-09,0.9,0.52,0.52,0.59,0.45,0.38,0.4,0.69,0.47,0.58,0.27,0.44,0.53,0.25,0.46,0.59,0.48,0.31,0.38,0.46,0.42,0.32,0.57,0.63,0.61,0.54,0.51,0.54,0.41,0.42,0.52,0.3,0.75,0.46,0.44,0.42,0.32,0.6,0.57,0.51,0.54,0.53,0.48,0.35,0.67,0.27,0.6,0.37,0.66,0.52,0.45
2020-10-10,0.8,0.61,0.5,0.55,0.46,0.35,0.68,0.65,0.48,0.43,0.56,0.33,0.45,0.77,0.46,0.54,0.25,0.38,0.43,0.56,0.4,0.92,0.49,0.64,0.51,0.81,0.45,0.48,0.41,0.22,0.37,0.28,0.46,0.27,0.54,0.44,0.38,0.33,0.67,0.61,0.34,0.51,0.42,0.39,0.76,0.36,0.59,0.61,0.45,0.56,0.5
