date,cases,deaths
2020-09-30,7262734,206852
2020-10-01,7309152,207699
2020-10-02,7362732,208564
2020-10-03,7410511,209273
2020-10-04,7445574,209606
2020-10-05,7507986,210035
2020-10-06,7550848,210756
2020-10-07,7603865,211752
2020-10-08,7660248,212680
2020-10-09,7719210,213595
2020-10-10,7770858,214187
2020-10-11,7815641,214606
2020-10-12,7863657,214957
2020-10-13,7918051,215783
2020-10-14,7977904,216792
2020-10-15,8043257,217585
2020-10-16,8113720,218476
2020-10-17,8166481,219154
2020-10-18,8214363,219541
2020-10-19,8279803,220058
2020-10-20,8340397,220987
2020-10-21,8404634,222195
2020-10-22,8479762,223023
2020-10-23,8564893,223949
2020-10-24,8643591,224821
2020-10-25,8703303,225160
2020-10-26,8777800,225698
2020-10-27,8852197,226681
2020-10-28,8934121,227697
2020-10-29,9024915,228701
2020-10-30,9124729,229672
2020-10-31,9208964,230510
2020-11-01,9283188,230937
2020-11-02,9376927,231477
2020-11-03,9469557,232607
2020-11-04,9577440,234223
2020-11-05,9698981,235331
2020-11-06,9831853,236577
2020-11-07,9957785,237584
2020-11-08,10061201,238048
2020-11-09,10191642,238793
2020-11-10,10331382,240258
2020-11-11,10474242,241689
2020-11-12,10637733,242861
2020-11-13,10819326,244250
2020-11-14,10978447,245460
2020-11-15,11113634,246083
2020-11-16,11280088,246879
2020-11-17,11441833,248486
2020-11-18,11614116,250411
2020-11-19,11801586,252373
2020-11-20,12000258,254325
2020-11-21,12172261,255754
2020-11-22,12313295,256597
2020-11-23,12492394,257635
2020-11-24,12670684,259844
2020-11-25,12851220,262157
2020-11-26,12954324,263336
2020-11-27,13159786,264748
2020-11-28,13311031,265940
2020-11-29,13447369,266758
2020-11-30,13615129,268023
2020-12-01,13799415,270633
2020-12-02,14000601,273518
2020-12-03,14218560,276375
2020-12-04,14449741,279012
2020-12-05,14655498,281202
2020-12-06,14827657,282313
2020-12-07,15031799,283846
2020-12-08,15251704,286667
2020-12-09,15471382,289824
2020-12-10,15696634,292761
2020-12-11,15977148,295712
2020-12-12,16184592,297971
2020-12-13,16368840,299328
2020-12-14,16569913,301006
2020-12-15,16772913,304031
2020-12-16,17017946,307642
2020-12-17,17256391,310940
2020-12-18,17507582,313810
2020-12-19,17701529,316371
2020-12-20,17881485,317800
2020-12-21,18083055,319763
2020-12-22,18284729,323002
2020-12-23,18512479,326413
2020-12-24,18706036,329237
2020-12-25,18807030,330366
2020-12-26,19023888,332012
2020-12-27,19175990,333242
2020-12-28,19365034,335141
