date,state,cases,deaths
2020-09-30,AL,154701,2540
2020-09-30,AK,8707,52
2020-09-30,AZ,218511,5654
2020-09-30,AR,83697,1369
2020-09-30,CA,821125,15898
2020-09-30,CO,71090,2061
2020-09-30,CT,57550,4508
2020-09-30,DE,20613,636
2020-09-30,DC,15326,627
2020-09-30,FL,706508,14316
2020-09-30,GA,301485,6861
2020-09-30,GU,3457,50
2020-09-30,HI,12555,135
2020-09-30,ID,42549,469
2020-09-30,IL,296935,8935
2020-09-30,IN,122295,3632
2020-09-30,IA,89248,1358
2020-09-30,KS,60957,678
2020-09-30,KY,72830,1208
2020-09-30,LA,167458,5511
2020-09-30,ME,5391,141
2020-09-30,MD,125217,3949
2020-09-30,MA,132116,9456
2020-09-30,MI,138074,7084
2020-09-30,MN,99187,2089
2020-09-30,MS,98190,2969
2020-09-30,MO,130065,2157
2020-09-30,MT,13179,180
2020-09-30,NE,45564,493
2020-09-30,NV,80084,1600
2020-09-30,NH,8266,439
2020-09-30,NJ,207062,16122
2020-09-30,NM,29435,877
2020-09-30,NY,463369,32757
2020-09-30,NC,211004,3565
2020-09-30,ND,21849,250
2020-09-30,MP,70,2
2020-09-30,OH,153987,4804
2020-09-30,OK,87199,1031
2020-09-30,OR,33554,560
2020-09-30,PA,164135,8216
2020-09-30,PR,48755,661
2020-09-30,RI,24748,1114
2020-09-30,SC,147942,3378
2020-09-30,SD,22389,223
2020-09-30,TN,193357,2429
2020-09-30,TX,784027,16102
2020-09-30,UT,73053,460
2020-09-30,VT,1752,58
2020-09-30,VI,1318,20
2020-09-30,VA,148271,3208
2020-09-30,WA,91560,2222
2020-09-30,WV,15848,350
2020-09-30,WI,129172,1338
2020-09-30,WY,5948,50
2020-10-01,AL,155744,2548
2020-10-01,AK,8838,53
2020-10-01,AZ,219214,5674
2020-10-01,AR,84821,1384
2020-10-01,CA,824306,15989
2020-10-01,CO,71723,2064
2020-10-01,CT,57742,4511
2020-10-01,DE,20787,636
2020-10-01,DC,15358,628
2020-10-01,FL,709136,14443
2020-10-01,GA,303010,6903
2020-10-01,GU,3519,50
2020-10-01,HI,12660,138
2020-10-01,ID,42915,473
2020-10-01,IL,299111,8956
2020-10-01,IN,123459,3645
2020-10-01,IA,90483,1366
2020-10-01,KS,61103,678
2020-10-01,KY,73619,1225
2020-10-01,LA,168009,5519
2020-10-01,ME,5431,142
2020-10-01,MD,125997,3949
2020-10-01,MA,132870,9480
2020-10-01,MI,139064,7103
2020-10-01,MN,100253,2102
2020-10-01,MS,98886,2979
2020-10-01,MO,131778,2184
2020-10-01,MT,13626,181
2020-10-01,NE,46185,497
2020-10-01,NV,80507,1603
2020-10-01,NH,8317,441
2020-10-01,NJ,207676,16127
2020-10-01,NM,29661,882
2020-10-01,NY,464752,32768
2020-10-01,NC,213218,3601
2020-10-01,ND,22221,259
2020-10-01,MP,70,2
2020-10-01,OH,155314,4817
2020-10-01,OK,88369,1035
2020-10-01,OR,33865,561
2020-10-01,PA,165078,8234
2020-10-01,PR,49067,665
2020-10-01,RI,24914,1117
2020-10-01,SC,148323,3400
2020-10-01,SD,23136,236
2020-10-01,TN,194601,2473
2020-10-01,TX,788066,16220
2020-10-01,UT,74099,460
2020-10-01,VT,1755,58
