date,OH,IN,OK,KS,OR,KY,PA,LA,MA,AL,RI,MD,AR,SC,ME,SD,MI,AZ,TN,MN,CA,TX,MO,CO,CT,UT,MS,DC,VA,MT,DE,NC,FL,VT,ND,GA,WA,NE,WI,NH,HI,WV,NJ,IA,WY,NM,ID,NV,IL,NY
2020-09-30,0.33,0.53,0.39,0.54,0.43,0.3,0.67,0.35,0.3,0.69,0.37,0.82,0.12,0.5,0.28,0.28,0.76,0.3,0.39,0.34,0.56,0.74,0.33,0.7,0.22,0.24,0.61,0.36,0.35,0.45,0.0,0.59,0.5,0.0,0.43,0.44,0.63,0.3,0.6,0.33,0.16,0.21,0.49,0.16,0.0,0.14,0.22,0.45,0.47,0.74
2020-10-01,0.33,0.64,0.26,0.32,0.28,0.61,0.67,0.34,0.47,0.68,0.19,0.54,0.24,0.5,0.15,0.3,0.64,0.81,0.58,0.68,0.53,0.64,0.74,0.63,0.6,0.31,0.24,0.0,0.68,0.23,0.22,0.55,0.8,0.22,0.0,0.53,0.54,0.44,0.54,0.52,0.16,0.61,0.41,0.32,0.3,0.27,0.43,0.09,0.54,0.62
2020-10-02,0.41,0.65,0.54,0.33,0.28,0.57,0.48,0.43,0.31,0.4,0.78,0.45,1.0,0.35,0.42,0.31,0.69,0.6,0.26,0.7,0.63,0.67,0.75,0.71,0.3,0.08,0.25,0.38,0.36,0.24,0.68,0.32,0.69,0.4,0.44,0.37,0.52,0.3,0.28,0.34,0.48,0.21,0.54,0.4,0.0,0.14,0.87,0.09,0.59,0.55
2020-10-03,0.6,0.49,0.91,0.77,0.74,0.87,0.73,0.73,0.97,0.56,0.91,0.48,0.45,0.49,0.17,0.0,0.5,0.82,0.37,0.85,0.72,0.76,0.57,0.58,0.27,0.28,1.0,1.0,0.57,0.27,0.0,0.67,0.54,0.0,0.26,0.81,0.67,0.53,1.0,0.6,0.56,0.24,0.47,0.28,0.0,0.32,0.5,0.7,0.88,0.83
2020-10-04,0.65,0.39,0.31,0.39,0.49,0.27,1.0,0.4,0.81,0.68,0.67,0.32,0.29,0.38,0.16,0.36,0.53,0.54,0.74,0.49,0.69,1.0,0.66,0.74,0.45,0.18,0.14,0.25,0.47,0.0,0.51,0.41,0.75,0.23,0.25,0.83,1.0,0.34,0.57,0.39,0.57,0.71,0.53,0.46,0.35,0.31,0.98,1.0,0.9,0.85
2020-10-05,0.57,0.4,0.38,0.31,0.63,0.63,0.77,0.25,0.92,0.77,0.54,0.8,0.12,0.73,0.28,0.0,0.8,0.78,0.58,0.82,0.56,0.85,0.73,0.82,0.38,0.31,0.0,0.53,0.58,0.22,0.22,0.51,0.96,0.0,0.0,0.39,0.44,0.3,0.49,0.7,0.71,0.2,0.53,0.4,0.0,0.54,0.21,0.79,0.95,0.68
2020-10-06,0.57,0.23,0.64,0.51,0.35,0.71,0.58,0.58,0.71,0.29,0.18,0.6,0.12,0.57,0.57,0.29,0.47,0.42,0.59,0.95,0.71,0.6,0.72,0.69,0.73,0.93,0.12,0.36,0.65,0.0,0.0,0.55,0.68,0.2,0.0,0.42,0.73,0.0,0.53,0.84,0.52,0.21,0.51,0.4,0.31,0.4,0.42,0.18,0.59,0.84
2020-10-07,0.53,0.65,0.26,0.42,0.98,0.71,0.72,0.16,0.71,0.78,0.73,0.89,0.24,1.0,0.14,0.0,0.43,0.66,0.52,0.48,0.73,0.63,0.4,0.63,0.36,0.47,0.36,0.0,0.73,0.0,0.23,0.48,0.69,0.2,0.21,0.39,0.32,0.6,0.45,0.17,0.5,0.61,0.5,0.56,0.61,0.27,0.44,0.45,0.44,0.86
2020-10-08,0.37,0.66,0.88,0.31,0.14,0.47,0.7,0.17,0.52,0.1,0.19,0.87,0.12,0.33,0.14,0.29,0.69,0.84,0.26,0.41,0.77,0.79,0.24,0.91,0.3,0.23,0.24,0.18,0.47,0.0,0.0,0.55,0.86,0.2,0.21,0.33,0.31,0.74,0.44,0.0,0.53,0.42,0.54,0.24,0.0,0.42,0.21,0.36,0.62,0.85
2020-10-09,0.67,1.0,0.0,0.25,0.24,0.27,0.6,0.29,0.25,0.22,0.22,0.87,0.14,0.47,0.86,0.35,0.7,0.68,0.49,0.4,0.72,0.38,0.37,0.64,0.0,0.36,0.0,0.23,0.58,0.78,0.52,0.56,0.86,0.0,0.0,0.29,0.75,0.33,0.06,0.41,0.19,0.0,0.64,0.37,0.0,0.31,0.76,0.2,0.68,0.94
2020-10-10,0.68,0.6,0.16,0.14,0.78,0.38,0.98,0.22,0.57,0.43,0.75,0.37,0.15,0.69,0.37,0.39,0.54,0.66,0.73,0.38,0.65,0.82,0.1,1.0,0.3,0.51,0.14,0.28,0.56,0.6,0.0,0.76,0.91,0.0,0.0,0.62,0.77,0.92,0.79,0.21,0.41,1.0,0.59,0.1,0.0,0.85,0.0,0.22,0.73,0.69
2020-10-11,0.36,0.29,0.32,0.39,0.6,0.63,0.83,0.45,0.62,0.79,0.48,0.34,0.3,0.66,0.18,0.0,0.97,0.36,0.67,0.36,0.94,0.65,0.4,0.69,0.48,0.61,0.0,0.53,0.53,0.0,0.79,0.41,0.81,0.24,0.54,0.27,0.82,0.73,0.41,0.2,0.83,0.23,0.44,0.31,0.0,0.33,0.53,0.32,0.88,0.67
2020-10-12,0.29,0.32,0.99,0.24,0.47,0.17,0.55,0.38,0.56,0.32,0.22,0.35,0.54,0.44,0.34,0.33,0.46,0.73,0.63,0.67,0.74,0.91,0.27,0.32,0.33,0.35,0.13,0.0,0.44,0.0,0.0,0.65,0.8,0.23,0.46,0.43,0.68,0.65,0.53,0.39,0.0,0.21,0.6,0.17,0.33,0.59,0.24,0.2,0.76,0.69
2020-10-13,0.64,0.34,0.59,0.12,0.39,0.17,0.65,0.37,0.29,0.21,0.63,0.3,0.14,0.37,0.49,0.0,0.58,0.53,0.72,0.78,0.69,0.59,0.37,0.65,0.25,0.36,0.26,0.4,0.81,0.0,0.24,0.55,0.42,0.0,0.0,0.47,0.55,0.34,0.49,0.75,0.37,0.0,0.61,0.09,0.67,0.3,0.24,0.2,0.54,0.76
2020-10-14,0.61,0.34,0.44,0.24,0.49,0.17,0.87,0.29,0.48,0.97,0.0,0.51,0.28,0.75,0.52,0.0,0.77,1.0,0.5,0.46,0.72,0.76,0.46,0.64,0.18,0.61,0.27,0.0,0.47,0.25,0.52,0.44,0.62,0.5,0.24,0.66,0.48,0.67,0.19,0.4,0.0,0.0,0.44,0.45,0.33,0.45,0.49,0.7,0.47,0.6
2020-10-15,0.49,0.39,0.44,0.0,0.32,0.34,0.74,0.56,0.86,0.33,0.0,0.8,0.14,0.75,0.52,0.0,0.52,0.99,0.35,0.62,0.54,0.68,0.8,0.73,0.53,0.37,0.27,0.21,0.43,0.0,0.0,0.4,0.81,0.0,0.9,0.5,0.48,0.34,0.62,0.2,0.57,0.44,0.67,0.18,0.35,0.6,0.5,0.4,0.64,0.95
2020-10-16,0.47,0.48,0.31,0.38,0.5,0.72,0.63,0.6,0.42,0.9,0.21,0.74,0.29,0.47,0.0,0.67,0.5,0.74,0.22,0.58,0.58,0.6,0.76,0.41,0.42,0.0,0.0,0.44,0.56,0.0,0.0,0.32,0.69,0.0,0.24,0.5,0.84,0.34,0.25,0.39,0.57,0.22,0.52,0.57,0.0,0.0,0.0,0.41,0.51,0.83
2020-10-17,0.48,0.53,0.33,0.56,0.09,0.39,0.71,0.23,0.62,0.48,0.49,0.66,0.48,0.63,0.0,0.0,0.65,0.74,0.4,0.54,0.81,0.52,0.62,0.88,0.39,0.31,0.15,0.0,1.0,0.0,0.56,0.41,1.0,0.27,0.82,0.57,0.63,0.56,0.69,0.0,0.4,0.74,0.63,0.2,0.38,0.17,0.55,0.87,0.53,0.97
2020-10-18,0.86,0.5,0.82,0.13,0.45,0.28,0.7,0.54,0.34,0.47,0.7,0.49,0.31,0.1,0.75,0.36,0.52,0.65,0.47,0.78,0.96,0.78,0.69,0.67,0.67,0.41,0.74,0.55,0.7,0.26,0.28,0.85,0.84,0.26,0.26,0.36,0.61,0.71,0.58,0.21,0.2,0.24,1.0,0.48,0.0,0.16,0.82,0.32,0.65,0.81
2020-10-19,0.63,0.26,0.72,0.23,0.48,0.33,0.59,0.37,0.79,0.64,0.0,0.49,0.27,0.18,0.33,0.31,0.66,0.58,0.42,0.61,0.64,0.62,0.44,0.72,0.51,0.27,0.4,0.21,0.52,0.25,0.25,0.56,0.58,0.0,0.0,0.5,0.73,0.0,0.49,0.0,0.37,0.0,0.59,0.35,0.34,0.44,0.0,0.29,0.4,0.62
2020-10-20,0.68,0.74,0.43,0.23,0.89,0.08,0.66,0.0,0.67,0.11,0.21,0.61,0.14,0.74,0.17,0.32,0.87,0.45,0.35,0.38,0.62,0.82,0.45,0.49,0.26,0.36,0.0,0.0,0.67,0.24,0.0,0.4,0.5,0.5,0.93,0.4,0.63,0.5,0.56,0.2,0.0,0.44,0.52,0.18,0.0,0.89,0.48,0.4,1.0,0.74
2020-10-21,0.23,0.33,0.72,0.35,0.56,0.34,0.7,0.84,0.48,0.22,0.0,0.43,0.83,0.19,0.17,0.65,0.63,0.6,0.35,0.0,0.59,0.71,0.36,0.49,0.68,0.27,0.4,0.0,0.51,0.0,1.0,0.28,0.65,0.0,0.22,0.4,0.72,0.33,0.19,0.58,0.55,0.67,0.77,0.27,0.0,0.15,0.99,0.3,0.47,0.56
2020-10-22,0.43,0.34,0.72,0.12,0.32,0.26,0.46,0.28,0.8,0.67,0.0,0.61,0.29,0.67,0.0,0.33,0.44,0.6,0.35,0.76,0.77,0.65,0.65,0.71,0.44,0.18,0.41,0.21,0.57,0.0,0.26,0.44,0.79,0.0,0.46,0.3,0.52,0.33,0.37,0.0,0.18,0.22,0.74,0.09,0.0,0.15,0.25,0.1,0.44,0.67
2020-10-23,0.46,0.39,0.57,0.48,0.82,0.26,0.72,0.28,0.62,0.22,0.65,0.19,0.28,0.57,0.68,0.0,0.39,0.93,0.28,0.62,0.62,0.66,0.8,0.55,0.68,0.54,0.0,0.22,0.7,0.25,0.26,0.41,0.89,0.5,0.0,0.41,0.42,1.0,0.67,1.0,0.54,0.23,0.55,0.27,0.0,0.16,0.0,0.31,0.53,0.59
2020-10-24,0.86,0.72,0.63,0.28,0.45,0.67,0.82,0.65,1.0,0.44,0.72,0.29,0.16,0.73,0.37,0.0,0.75,0.59,0.68,0.17,0.95,0.77,0.8,0.87,0.39,1.0,0.15,0.85,0.55,0.0,0.59,0.41,0.54,0.79,0.52,0.36,0.56,0.51,0.14,0.43,1.0,0.0,0.68,0.48,0.71,0.49,0.52,0.43,0.74,0.97
2020-10-25,0.32,0.35,0.32,0.39,0.62,0.37,0.63,0.42,0.54,0.72,0.46,0.53,0.31,0.2,0.92,0.0,0.53,0.43,0.23,0.75,1.0,0.76,0.5,0.99,0.77,0.48,0.72,0.26,0.57,0.77,0.27,0.43,0.73,0.0,0.0,0.76,0.58,0.7,0.38,0.41,0.81,0.23,0.69,0.57,0.65,0.48,0.51,0.32,0.71,1.0
2020-10-26,0.34,0.57,0.41,0.46,0.96,0.42,0.48,0.55,0.42,0.63,0.42,0.65,0.54,0.37,0.0,0.32,0.57,0.45,0.14,0.53,0.77,0.78,0.62,0.62,0.42,0.17,0.26,0.41,0.52,0.24,0.0,0.63,0.52,0.23,0.42,0.51,0.64,0.0,0.48,0.19,0.37,0.22,0.36,0.35,0.0,0.59,0.23,0.49,0.66,0.77
2020-10-27,0.26,0.45,0.29,0.59,0.49,0.26,0.55,0.27,0.36,0.11,0.44,0.66,0.14,0.09,0.51,0.65,0.58,0.59,0.62,0.53,0.59,0.67,0.35,0.63,0.34,0.27,0.27,0.0,0.79,0.72,0.25,0.51,0.88,0.24,0.21,0.4,0.85,0.33,0.61,0.2,0.55,0.0,0.22,0.18,0.0,0.45,0.49,0.3,0.97,0.68
2020-10-28,0.6,0.13,0.46,0.35,0.32,0.6,0.55,0.18,0.84,0.93,0.42,0.8,0.0,0.46,0.5,0.0,0.45,0.6,1.0,0.47,0.64,0.51,0.18,0.96,0.51,0.54,0.0,0.21,0.49,0.0,0.0,0.19,0.74,0.0,0.0,0.33,0.78,0.49,0.51,0.0,0.36,0.22,0.43,0.27,0.69,0.6,0.0,0.2,0.54,0.7
