date,OH,IN,OK,KS,OR,KY,PA,LA,MA,AL,RI,MD,AR,SC,ME,SD,MI,AZ,TN,MN,CA,TX,MO,CO,CT,UT,MS,DC,VA,MT,DE,NC,FL,VT,ND,GA,WA,NE,WI,NH,HI,WV,NJ,IA,WY,NM,ID,NV,IL,NY
2020-09-30,0.18,0.0,0.0,0.0,0.46,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.09,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.21,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0
2020-10-01,0.0,0.0,0.0,0.24,0.0,0.0,0.22,0.35,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.45,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.41,0.0,0.0
2020-10-02,0.0,0.0,0.31,0.24,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.9,0.0,0.09,0.19,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.21,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19
2020-10-03,0.0,0.59,0.0,0.0,0.0,0.0,0.26,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.34,0.0,0.1,0.11,0.49,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.48,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-04,0.2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.33,0.45,0.0,0.44,0.88,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.34,0.25,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.47,0.0,0.27,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.71
2020-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.22,0.0,0.0,0.28,0.17,0.0,0.21,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.17,0.14,0.0,0.0,0.2,0.42,0.92,0.23,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.41,0.18,0.0
2020-10-06,0.0,0.25,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.27,0.17,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.19
2020-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.33,0.0,0.0,0.0,0.37,0.73,0.0,0.0,0.0,0.0,0.0,0.3,0.28,0.0,0.18,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0
2020-10-08,0.35,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.18,0.0,0.0,0.0,0.34,0.0,0.0,0.37,0.0,0.0,0.0,0.14,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
2020-10-09,0.2,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.2,0.11,0.0,0.32,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.22
