date,increase
2020-09-30,42058.0
2020-10-01,46418.0
2020-10-02,53580.0
2020-10-03,47779.0
2020-10-04,35063.0
2020-10-05,62412.0
2020-10-06,42862.0
2020-10-07,53017.0
2020-10-08,56383.0
2020-10-09,58962.0
2020-10-10,51648.0
2020-10-11,44783.0
2020-10-12,48016.0
2020-10-13,54394.0
2020-10-14,59853.0
2020-10-15,65353.0
2020-10-16,70463.0
2020-10-17,52761.0
2020-10-18,47882.0
2020-10-19,65440.0
2020-10-20,60594.0
2020-10-21,64237.0
2020-10-22,75128.0
2020-10-23,85131.0
2020-10-24,78698.0
2020-10-25,59712.0
2020-10-26,74497.0
2020-10-27,74397.0
2020-10-28,81924.0
2020-10-29,90794.0
2020-10-30,99814.0
2020-10-31,84235.0
2020-11-01,74224.0
2020-11-02,93739.0
2020-11-03,92630.0
2020-11-04,107883.0
2020-11-05,121541.0
2020-11-06,132872.0
2020-11-07,125932.0
2020-11-08,103416.0
2020-11-09,130441.0
2020-11-10,139740.0
2020-11-11,142860.0
2020-11-12,163491.0
2020-11-13,181593.0
2020-11-14,159121.0
2020-11-15,135187.0
2020-11-16,166454.0
2020-11-17,161745.0
2020-11-18,172283.0
2020-11-19,187470.0
2020-11-20,198672.0
2020-11-21,172003.0
2020-11-22,141034.0
2020-11-23,179099.0
2020-11-24,178290.0
2020-11-25,180536.0
2020-11-26,103104.0
2020-11-27,205462.0
2020-11-28,151245.0
2020-11-29,136338.0
2020-11-30,167760.0
2020-12-01,184286.0
2020-12-02,201186.0
2020-12-03,217959.0
2020-12-04,231181.0
2020-12-05,205757.0
2020-12-06,172159.0
2020-12-07,204142.0
2020-12-08,219905.0
2020-12-09,219678.0
2020-12-10,225252.0
2020-12-11,280514.0
2020-12-12,207444.0
2020-12-13,184248.0
2020-12-14,201073.0
2020-12-15,203000.0
2020-12-16,245033.0
2020-12-17,238445.0
2020-12-18,251191.0
2020-12-19,193947.0
2020-12-20,179956.0
2020-12-21,201570.0
2020-12-22,201674.0
2020-12-23,227750.0
2020-12-24,193557.0
2020-12-25,100994.0
2020-12-26,216858.0
2020-12-27,152102.0
2020-12-28,189044.0
