date,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,GU,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,MP,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VT,VI,VA,WA,WV,WI,WY
2020-09-30,1147.0,105.0,326.0,942.0,3186.0,632.0,221.0,82.0,26.0,1948.0,1466.0,45.0,119.0,695.0,2262.0,968.0,1014.0,1006.0,909.0,610.0,54.0,412.0,532.0,1175.0,688.0,552.0,1249.0,354.0,520.0,393.0,33.0,708.0,278.0,1005.0,1620.0,445.0,1.0,1080.0,980.0,257.0,916.0,288.0,192.0,308.0,392.0,1498.0,3484.0,917.0,3.0,0.0,755.0,549.0,156.0,2428.0,127.0
2020-10-01,1043.0,131.0,703.0,1124.0,3181.0,633.0,192.0,174.0,32.0,2628.0,1525.0,62.0,105.0,366.0,2176.0,1164.0,1235.0,146.0,789.0,551.0,40.0,780.0,754.0,990.0,1066.0,696.0,1713.0,447.0,621.0,423.0,51.0,614.0,226.0,1383.0,2214.0,372.0,0.0,1327.0,1170.0,311.0,943.0,312.0,166.0,381.0,747.0,1244.0,4039.0,1046.0,3.0,8.0,450.0,606.0,176.0,3004.0,135.0
2020-10-02,954.0,126.0,564.0,958.0,4058.0,731.0,555.0,150.0,65.0,2660.0,1396.0,67.0,94.0,613.0,2429.0,1500.0,1000.0,1321.0,947.0,817.0,37.0,714.0,761.0,993.0,1166.0,672.0,1947.0,418.0,792.0,778.0,217.0,740.0,339.0,1601.0,1817.0,476.0,0.0,1495.0,1190.0,315.0,1192.0,680.0,162.0,862.0,386.0,1079.0,5896.0,1076.0,13.0,0.0,966.0,561.0,283.0,2820.0,131.0
2020-10-03,1682.0,147.0,625.0,746.0,3130.0,475.0,0.0,188.0,50.0,2787.0,1535.0,82.0,133.0,174.0,2267.0,1455.0,819.0,22.0,1010.0,0.0,18.0,483.0,672.0,1179.0,1421.0,609.0,1101.0,446.0,426.0,544.0,63.0,947.0,296.0,1728.0,2014.0,440.0,0.0,1157.0,1189.0,332.0,0.0,628.0,0.0,1706.0,464.0,1190.0,5449.0,1056.0,10.0,1.0,1116.0,433.0,161.0,3022.0,151.0
2020-10-04,789.0,189.0,354.0,488.0,3141.0,460.0,0.0,118.0,46.0,1868.0,837.0,-82.0,70.0,262.0,1411.0,1087.0,442.0,33.0,510.0,893.0,33.0,591.0,644.0,51.0,1039.0,321.0,865.0,248.0,404.0,305.0,48.0,626.0,181.0,1226.0,592.0,416.0,3.0,941.0,569.0,259.0,1891.0,300.0,0.0,691.0,432.0,1392.0,3029.0,1387.0,7.0,0.0,1067.0,367.0,160.0,1923.0,139.0
2020-10-05,544.0,211.0,334.0,417.0,3085.0,640.0,823.0,120.0,28.0,1415.0,21349.0,136.0,50.0,868.0,2210.0,784.0,517.0,1338.0,701.0,218.0,26.0,492.0,515.0,1470.0,973.0,215.0,1606.0,389.0,452.0,410.0,35.0,511.0,155.0,937.0,2404.0,312.0,2.0,1057.0,665.0,285.0,965.0,630.0,343.0,577.0,180.0,2341.0,4095.0,1115.0,32.0,-5.0,687.0,675.0,114.0,1839.0,125.0
2020-10-06,764.0,145.0,846.0,641.0,2602.0,506.0,121.0,103.0,105.0,2251.0,974.0,65.0,83.0,655.0,1562.0,996.0,648.0,260.0,954.0,532.0,20.0,414.0,495.0,1144.0,941.0,975.0,1875.0,506.0,498.0,492.0,51.0,629.0,315.0,1394.0,1393.0,503.0,0.0,1335.0,1364.0,291.0,1129.0,432.0,177.0,811.0,278.0,1654.0,4656.0,716.0,4.0,-1.0,625.0,492.0,194.0,2106.0,141.0
2020-10-07,941.0,128.0,621.0,809.0,3410.0,875.0,123.0,84.0,45.0,2582.0,1668.0,50.0,106.0,746.0,2624.0,1288.0,1296.0,1054.0,928.0,2156.0,39.0,467.0,535.0,1230.0,911.0,563.0,2090.0,561.0,639.0,464.0,69.0,509.0,425.0,1356.0,1911.0,493.0,0.0,1424.0,1006.0,299.0,1295.0,31.0,180.0,735.0,1030.0,2029.0,5975.0,1073.0,6.0,1.0,509.0,806.0,203.0,2490.0,129.0
2020-10-08,557.0,135.0,849.0,1265.0,3652.0,776.0,384.0,132.0,68.0,3306.0,1373.0,66.0,101.0,615.0,3111.0,1461.0,1544.0,165.0,881.0,524.0,35.0,761.0,444.0,1417.0,1271.0,578.0,1470.0,572.0,663.0,471.0,78.0,1298.0,384.0,1835.0,2389.0,527.0,0.0,1539.0,1212.0,475.0,1421.0,526.0,269.0,1050.0,535.0,1979.0,4566.0,1453.0,11.0,2.0,1844.0,727.0,186.0,3237.0,193.0
2020-10-09,1490.0,180.0,694.0,1167.0,3844.0,882.0,290.0,145.0,78.0,2908.0,1792.0,55.0,164.0,826.0,2776.0,1834.0,1274.0,1790.0,1083.0,257.0,27.0,733.0,765.0,1332.0,1390.0,862.0,2302.0,712.0,109.0,814.0,92.0,865.0,485.0,1593.0,2018.0,656.0,0.0,1840.0,1524.0,417.0,1381.0,598.0,249.0,921.0,774.0,1558.0,4509.0,1332.0,8.0,0.0,1114.0,610.0,382.0,3218.0,243.0
